ticker,target_weight
VICI,0.022532
META,0.021791
PAYC,0.021647
ANET,0.021561
DDOG,0.021436
APH,0.021371
NOW,0.021371
GOOG,0.021252
GOOGL,0.021252
TYL,0.021211
BRO,0.021054
MPWR,0.020935
AVGO,0.020865
AMZN,0.020816
ROL,0.020816
CRM,0.020786
FIX,0.020459
CSGP,0.020342
PLTR,0.020302
CRWD,0.020191
FTNT,0.020064
ROP,0.020064
FAST,0.020026
TTD,0.019999
MSFT,0.019866
CDNS,0.019828
SNA,0.019709
PAYX,0.019628
NVDA,0.019457
EPAM,0.019430
CPRT,0.019417
GDDY,0.019409
PANW,0.019289
WDAY,0.019281
AJG,0.019273
ADBE,0.019233
ICE,0.019076
O,0.019035
ULTA,0.019013
ACN,0.018997
RMD,0.018957
COST,0.018916
EXR,0.018878
FDS,0.018878
LULU,0.018810
GEV,0.018797
IDXX,0.018759
MA,0.018640
MNST,0.018640
UHS,0.018640
